imo,sector,destination,top1,score1,top2,score2,top3,score3,top4,score4,top5,score5
9216547,TANKER,CIENFUEGOS.CU,Cienfuegos + code1,100,Santiago de Cuba + code2,56,Foshan + code2,56,Kuchinotsu + code1,52,Cienaga + code1,50
9618680,DRY,"TJ.BARA,IDN",Itajai + code2,62,Tanjung Bara + code1,61,Rapid Bay + code1,60,Bartin + code1,59,Barbers Point + code1,58
9550462,DRY,SHIHU,Shihu + code1,100,Shingu + code1,73,Shishi + code1,73,Huizhou + code1,67,Sibu + code1,67
8902826,DRY BULK,SINGAPORE,Singapore + code1,100,Gopalpur + code2,71,Helsingor + code1,67,Port Dina + code1,67,Surigao + code1,62
9692428,TANKER,CN CJK,Kuchinotsu + code2,55,Chanaral + code2,55,Jiangmen + code2,55,"Kingstown, St. Vincent + code2",55,Kawagoe + code2,55
9786803,DRY BULK,TN SUS,Ketchikan + code2,73,Trenton + code2,73,Houston + code1,62,Surat Thani + code1,59,Faustina + code1,57
9305934,CONTAINER,EGPSD,Port Said + code2,100,Egersund + code1,62,Alcudia + code2,60,Karlstad + code2,60,Safaga + code2,60
9558206,DRY BULK,CN ZOS,Zhoushan + code2,91,Laizhou + code2,73,Foshan + code2,73,Zhongshan + code2,73,Taizhou + code2,73
9501071,DRY BULK,SUEZ,Suez Bay + code1,100,Suez Port + code1,100,Sture + code1,67,Suape + code1,67,Sturgeon Bay + code2,67
9533359,DRY,CMA PHA,Cam Pha + code1,86,MAP TA PHUT + code1,67,Halifax + code2,67,Port Hawkesbury - Wright Point Oil Berth + code2,67,"Dartmouth, N.S., Canada + code2",67
9674567,CONTAINER,ID JKT>TH LCH,Bach Ho + code1+3,62,Can Tho + code1+3,62,Ha Tinh + code1+3,62,Tha Sala + code1+3,57,Loch Striven + code1+3,56
9218272,DRY,"NECOCHEA,ARGENTINA",Necochea + code1,100,"Colon, Argentina + code1",75,"San Nicolas, Argentina + code1",72,"San Pedro, Argentina + code1",70,"Rosario, Argentina + code1",69
9387279,TANKER,QUINTERO,Quintero + code1,100,Hunterston + code1,67,Iquitos + code1,67,Mukilteo + code1,62,Ennore + code2,62
9341366,TANKER,BATAM,Batam + code1,100,Bastia + code1,73,Bataan + code1,73,Batumi + code1,73,Buatan + code1,73
9271559,DRY BULK,SINGAPORE,Singapore + code1,100,Gopalpur + code2,71,Helsingor + code1,67,Port Dina + code1,67,Surigao + code1,62
9409077,DRY,IL ETH,Methil + code1,83,Bethel + code1,67,Fethiye + code1,62,Thi Vai + code1,62,Hilo + code1,60
9716030,DRY,PARANAGUA BRAZIL,Paranagua + code1,100,"Natal, Brazil + code1",71,Santa Clara (Brazil) + code1,71,"Vitoria, Brazil + code1",60,Panama Canal + code1,57
9403762,TANKER,KALBUT,Kalbut Situbondo + code1,100,Jaluit + code1,67,Karluk + code1,67,Calicut + code1,62,Kahului + code1,62
9224051,CONTAINER,ITRAV,Sitra + code1,80,Ravenna + code2,80,Crotone + code2,80,Itea + code1,67,Kenitra + code1,67
9316115,TANKER,ADR BRAZIL,"Natal, Brazil + code1",75,Santa Clara (Brazil) + code1,75,"Vitoria, Brazil + code1",75,Braila + code1,62,Yarraville + code1,60
9609720,DRY,"FORTALEZA,BR",Fortaleza + code1,100,Fortaleza + code2,59,Kota Baru + code1,57,Botlek + code1,56,Braila + code1,56
9444962,CONTAINER,JPMOJ,Moji + code2,100,Kagoshima + code2,80,Ocho Rios + code2,80,Aomori + code2,80,Matsuyama + code2,80
9400837,TANKER,CHEVRON.TERMINL,Termini Imerese + code1,60,Coronel + code1,55,Dalia Terminal + code1,55,"Tripoli, Lebanon + code1",53,Cherry Point + code1,52
9829100,TANKER,WHITEGATE,Whitegate + code1,100,Whitehaven + code1,74,Whittier + code1,71,Gaeta + code2,71,Itea + code1,62
9659933,DRY,LABUAN,Labuan + code1,100,Labuan Amuk + code1,100,Busan + code1,73,Balamban + code1,71,Lausanne + code1,71
9788966,TANKER,SINGAPORE EAST OPL,Singapore + code1,100,Helsingor + code1,59,Eastland Port + code1,58,East London + code1,55,Eastport (Me) + code1,55
9816842,DRY BULK,ITTRS>TRTUZ,Tuzla Dockyard + code2+3,100,Tutuncifilik + code2+3,80,Trabzon + code2+3,80,Tartous + code1+3,67,Truk + code1+3,67
9598311,DRY BULK,IN MRM,Mormugao + code2,91,Chin Men + code1,57,Muara Kintap + code1,56,Imari + code1,55,Izmir + code1,55
9558581,DRY BULK,ESPAS,Pasajes + code2,100,Aviles + code2,80,Puerto De Santa Maria + code2,80,San Sebastian + code2,80,Palamos + code2,80
9259501,DRY BULK,DE CUX - GB IMM,Immingham Dock + code2,56,Santiago de Cuba + code1,55,Cul De Sac + code1,52,Degi + code1,47,Madre De Deus  + code1,46
9446556,DRY BULK,AU HPT,Hay Point + code2,91,Port Alma + code2,73,Port Botany + code2,73,Tanger-Mediterranee + code2,73,Port Stanvac + code2,73
9329291,TANKER,AUS DAM,Dampier + code2,83,Asam Asam + code1,73,Sauda + code1,67,"Sydney, N.S.W., Australia + code2",67,"Dartmouth, N.S., Canada + code2",67
9802542,TANKER,BEIHAI,Beihai + code1,100,Beira + code1,73,Benghazi + code1,71,Bejaia + code1,67,Belair + code1,67
9110444,TANKER,BASHRA,Basrah + code1,83,Baoshan + code1,77,Bahregan + code1,71,Abashiri (Jap) + code1,67,Balhaf + code1,67
8604228,TANKER,ITGOA,Genoa - Avamporto + code2,100,Gela + code2,80,Gaeta + code2,80,Torre Annunziata + code2,80,Itaguai + code1,67
9289128,CONTAINER,SAVANNAH,Savannah + code1,100,Havana + code1,71,Savona + code1,71,Slavyanka + code1,71,Svanon + code1,71
8012841,DRY BULK,PORTBLAIR,Porlamar + code1,71,Portbury + code1,71,Belair + code1,67,Porbandar + code1,67,Port Said + code1,67
9260421,CONTAINER,CA PRR,Prince Rupert + code2,91,Three Rivers + code2,73,Prescott (Usa) + code2,73,Aparri + code1,67,Cai Mep + code1,62
9719654,DRY BULK,NGLOS,"Lagos, Nigeria + code2",100,Glomfjord + code2,80,Ango Ango + code1,67,Los Angeles + code1,62,Volos + code1,60
8222795,DRY BULK,KOLKATA,Kolkata + code1,100,Aokata + code1,77,Kolaka + code1,77,Kalamata + code1,67,Kanokawa + code1,67
9377547,TANKER,RASLAFFAN,Ras Laffan + code1,63,Ashland + code1,62,Faslane + code1,62,Ras Selaata + code1,60,Balamban + code1,59
9379038,TANKER,PARADIP,Paradip + code1,100,Prai + code1,73,Praia + code1,67,Takoradi + code1,67,Puerto Acevedo + code2,67
9517549,DRY,PEPAI,Paita + code2,100,Paramonga + code2,80,Pisco + code2,80,Atico + code2,80,Penglai + code1,67
9431977,DRY,CAPE MATAP,Cape Palmas + code1,67,Cape Lambert + code1,64,Cape Town + code1,63,Cape Flattery + code1,61,"Matanzas, Cuba + code1",61
9177492,DRY,BINTULU,Bintulu + code1,100,Bengkulu + code1,67,Tuticorin + code2,67,Banjul + code1,62,Bitung + code1,62
9342554,DRY BULK,PQTROPAVL,Petropavlovsk + code1,73,Aveiro + code2,57,Hopa + code2,57,Aliaga + code2,57,Palenque + code2,57
9278806,DRY,ACAJUTLA,Acajutla + code1,100,Nacala + code1,71,Aracaju + code1,67,Pascagoula + code1,67,Punta Ancla + code1,63
9114218,DRY BULK,CAIRNS,Cairns + code1,100,"Kingston, Ontario, Canada + code2",73,"San Nicolas, Argentina + code2",73,St Clair + code1,71,Canoas + code1,67
9622239,CONTAINER,FRLEH>MAPTM,Tanger Med + code2+3,100,"Altamira, Mexico + code2+3",80,Tanger-Mediterranee + code2+3,80,Maputo + code1+3,73,Mati + code1+3,67
9290268,DRY BULK,AU NTL,Newcastle + code2,91,Northern Endeavour + code2,73,Port Alma + code2,73,Antalya + code1,62,Antilla + code1,62
9392341,DRY BULK,JP MIZ A,Mizushima + code2,77,Minamata + code2,62,"Shimizu, (Honshu), Japan + code2",62,Maizuru + code2,62,Rumoi + code2,62
9543275,DRY BULK,TH THT,Phuket + code2,73,Tha Thong + code1,67,Ha Tinh + code1,62,Tembladora + code2,55,Khanom + code2,55
9290311,TANKER,SINGAPORE PEBG C,Singapore + code1,100,Helsingor + code1,56,Helsingborg + code1,52,Canaport + code1,50,Cape Charles + code1,50
9628128,DRY,PANAMA,Panama + code1,100,Panama Canal + code1,100,"Panama City, Florida, U.S.A. + code1",100,Paranam + code1,77,Palma + code1,73
7741251,DRY BULK,NOVOROSSIYSK   4,Novorossiysk + code1,100,Nossi-Be + code1,55,Novoportovskoye + code1,55,Tavriysk + code1,55,Namsos + code2,53
9709233,DRY,DALIAN,DALIAN + code1,100,Aland + code1,73,Alang + code1,73,Alicante + code1,71,Alliance + code1,71
9645736,TANKER,JP SBK,Senboku + code2,91,Fushiki + code2,73,Hibikinada + code2,73,Sasebo + code2,73,Sakai + code2,73
9476680,DRY,IN KAK,Kakinada + code2,91,Karaikal + code2,73,Jakhau + code2,73,Ain Sukhna + code1,62,Dudinka + code1,62
9596533,TANKER,TGPELEPAS,Gela + code1,62,Tela + code1,62,Penuelas + code1,59,Tanjung Pelepas + code1,58,Tenes + code1,57
9482770,DRY,RIO HAINA,Rio Haina + code1,100,Hamina + code1,67,Hikari + code1,67,Whangarei + code1,67,Rio Grande + code1,63
9299367,TANKER,CL QTV,Quintero + code2,91,St Clair + code1,57,Iquique + code2,55,Punta Arenas + code2,55,"San Vicente, Chile + code2",55
9081320,DRY BULK,VALLEYFIELD,Valleyfield + code1,100,BERYL FIELD + code1,64,Valloy + code1,59,Vallvik + code1,56,Alliance + code1,53
9331232,DRY,TELUK BAYUR,Teluk Ewa + code1,71,Teluk Rubiah + code1,70,Bell Bay + code1,63,Teluk Semangka + code1,62,Withnell Bay + code1,61
9722780,TANKER,TANGER MED,Tanger Med + code1,100,Tanger-Mediterranee + code1,75,Tangier + code1,71,Bremanger + code1,63,Hoeyanger + code1,63
9523562,DRY BULK,SGSIN(EPBGA),Singapore + code2,100,Bassein + code1,67,Spring Bay + code1,57,Ba Ngoi + code1,56,Bassens + code1,56
9225641,CONTAINER,BSFPO > FRLEH,Le Havre + code2+3,100,Le Verdon + code2+3,80,Doraleh + code1+3,67,Ferndale + code1+3,62,Leigh + code1+3,60
9631436,TANKER,HIRTSHALS  PEC207,Hirtshals + code1,100,"Naples, Italy + code1",50,Hiroshima + code1,48,La Spezia + code2,48,Salerno + code2,48
9258997,DRY BULK,TERNUZEN,Terneuzen + code1,94,Eren + code1,67,Ternate + code1,67,Rouen + code1,62,Shenzhen + code1,62
9787754,TANKER,AE FJR,Fujairah + code2,91,Sandefjord + code1,62,ANYER + code1,55,Dahej + code1,55,Haeju + code1,55
9236987,TANKER,MALTA,Malta (Grand Harbour) + code1,100,Alta + code1,89,Manta + code1,80,Yalta + code1,80,Tan Tan + code2,80
9237228,TANKER,PEBGC,Pecem + code1,60,Pemba + code1,60,Penco + code1,60,Tebig + code1,60,Puerto Chicama + code2,60
9333709,DRY BULK,SG PEBGA,Pemba + code1,62,Madang + code2,62,Ardrishaig + code2,62,Ras Gharib + code2,62,Safaga + code2,62
9809643,TANKER,KR YOS,Yosu + code2,91,Kos + code1,67,Yosu + code1,60,Kramfors + code1,57,Grays + code1,55
9614074,TANKER,MINA ALAHMADI KUWAIT,Mina Al-Ahmadi + code1,76,Mina Saqr + code1,62,Mina Saud + code1,62,Mina Al Fahal + code1,61,Bahia Las Minas + code1,57
8116178,DRY BULK,BISSAU,Bissau + code1,100,Salvador + code2,73,Nassau + code1,67,Sal Is. + code1,67,Basamuk + code1,62
9681211,TANKER,NINGBO.CN,Ningbo + code1,100,Ningbo + code2,71,Ningbo + code2,71,Pennington + code1,63,Nanjing + code1,62
9082128,TANKER,MAUMERE,Marugame + code1,67,Tranmere + code1,67,Morro Redondo + code2,67,Broome + code2,67,Fremantle + code2,67
9437854,DRY BULK,JP KSM OFF,Kashima + code2,67,Kamiiso (Jap) + code1,57,Souma (Jap) + code1,53,Hososhima + code2,53,Sakaiminato + code2,53
9704635,CONTAINER,SGSIN,Singapore + code2,100,Bassein + code1,67,Messina + code1,67,Shengjin + code1,62,Stugsund + code1,62
9828900,TANKER,TAMATAVE,Tamatave + code1,100,Diamante + code1,62,Kalamata + code1,62,Manta + code1,62,Matarape + code1,62
9119464,TANKER,TR ISK,Skutskar + code1,57,St Denis + code1,57,Three Rivers + code1,56,Kiska + code1,55,Risor + code1,55
9131034,DRY,FUJAIRAH,Fujairah + code1,100,Jaigarh + code1,67,Zuara + code1,62,Rauma + code2,62,Archangel + code2,62
9368871,DRY,AMSTERDAM,Amsterdam + code1,100,New Amsterdam + code1,100,Mosterhamn + code1,74,Vasteras + code1,71,Monsteras + code1,67
6813370,DRY,KOROMACNO,Romano + code1,80,Porto Romano + code1,67,Kozmino + code1,62,Oran + code1,62,Toronto + code1,62
9629586,TANKER,BE_ZEE,Zeebrugge + code2,91,Zelzate + code2,73,Belize + code1,67,Benete + code1,67,Bizerte + code1,62
9346744,TANKER,HAKODATE,Hakodate + code1,100,Hakata + code1,71,Avondale + code1,62,Hanko + code1,62,Kudat + code1,62
9726114,TANKER,JP CHB,Ichihara (Jap) + code1,56,Chiba + code1,55,Chacabuco + code2,55,Qinhuangdao + code2,55,Chiba + code2,55
9288370,TANKER,USHNL>>KRYOS,Yosu + code2+3,100,Kos + code1+3,75,Yosu + code1+3,67,Kramfors + code1+3,62,Grays + code1+3,60
9074925,DRY BULK,CN WEF,Weifang + code2,91,Wei Hai + code2,73,Shanwei + code2,73,Chin Men + code1,57,Zhenjiang + code2,55
9620437,DRY,SAMPIT INDO,Sampit + code1,100,Yampi Sound + code1,64,Dharamtar + code2,62,Santo Domingo + code1,58,Saint John + code1,57
9510151,DRY BULK,NG TIN,Tin Can Island + code2,91,Nghe Tinh + code1,80,Tien Giang + code1,75,Jiang Yin + code1,67,Nigg Tmnl + code1,67
9462990,TANKER,MESSAIED ANCHG,Mesaieed + code1,64,Manchester + code1,58,Moss Landing + code1,54,Tioman Anchorage + code1,53,Anchorage + code1,52
8919831,DRY BULK,RULED,"St Petersburg, Russia + code2",100,Redi + code1,67,Lulea + code1,60,Rouen + code1,60,De Kastri + code2,60
9614701,DRY BULK,EMDEN,Emden + code1,100,Eden + code1,89,Kemen + code1,80,Bremen + code1,73,Camden + code1,73
9051492,CONTAINER,RUNVS>TRTEK,Tekirdag + code2+3,100,Ternate + code1+3,67,Trieste + code1+3,67,Truk + code1+3,67,Erdek + code1+3,60
9785756,CONTAINER,SINGAPORE,Singapore + code1,100,Gopalpur + code2,71,Helsingor + code1,67,Port Dina + code1,67,Surigao + code1,62
8411243,TANKER,ELEFSINA ROAD,Helsingor + code1,55,La Romana + code1,55,Mina Saud + code1,55,Puerto Las Minas + code1,55,Rio Haina + code1,55
9719903,DRY BULK,CO SMR,Santa Marta + code2,91,Con Son + code1,62,Cork + code1,60,Stamford (Ct) + code1,59,Coari + code1,55
9292577,TANKER,MAMONAL,Mamonal + code1,100,Mandal + code1,77,Ambon + code1,67,Avondale + code1,67,Mahon + code1,67
9596492,DRY,YEOSU KOREA,Yeosu + code1,100,Yosu + code2,62,Komenotsu + code1,60,Kosrae + code1,59,Great Yarmouth + code1,56
9226061,DRY BULK,CN TAO,Qingdao (formerly Tsingtao) + code2,91,TAICANG + code2,80,Can Tho + code1,77,Cinta + code1,73,Taixing + code2,73
9101792,CONTAINER,CN_SHA_D4,Shidao + code2,71,Changsha + code1,59,Chenshan + code1,59,Chuansha + code1,59,Shanghai + code2,57
9232632,CONTAINER,JEDDAH,Jeddah + code1,100,Odda + code1,60,Hodeidah + code1,57,Revdanda + code1,57,Dahej + code1,55
9539664,CONTAINER,LK CMB>NG APP,Pago Pago + code2+3,73,Anping + code1+3,67,Ba Ngoi + code1+3,62,Da Nang + code1+3,62,Da Nong + code1+3,62
9277668,DRY,JINGTANG,JINGTANG + code1,100,Jingjiang + code1,82,Xingang + code1,80,Jinan + code1,77,Jinjiang + code1,75
8419738,DRY BULK,SURAT,Surat + code1,100,Surat Thani + code1,100,Misurata + code1,77,Sur + code1,75,Saratov + code1,67
9012513,DRY BULK,MIAMI,Miami + code1,100,Misamis + code1,83,Milaki + code1,73,Misumi + code1,73,Kiamari + code1,67
9610767,TANKER,AUS WMT,Launceston + code2,67,Burnie + code2,67,Manitowoc + code2,67,Braithwaite + code2,67,Marquette + code2,67
9697856,DRY,QUEBEC,"Pointe Noire, Quebec, Canada + code1",100,"Port Alfred, Quebec, Canada + code1",100,Quebec + code1,100,Lubeck + code1,67,Ube + code1,67
9614256,TANKER,>JP UKB E4 0FF,Kobe + code2+3,56,Ube + code2+3,44,Puerto Bayovar + code2+3,44,Koyo Dock (Jap) + code1+3,38,"Liverpool, U.K. + code1+3",38
9407043,TANKER,ZHANGJIAGANG,Zhangjiagang + code1,100,Chenjiagang + code1,78,Yangjiang + code1,76,Zhenjiang + code1,76,Changhang + code1,67
9059640,CONTAINER,ECGYE,Guayaquil + code2,100,Escee + code1,60,Pecem + code1,60,Chancay + code2,60,Coruna + code2,60
8603353,DRY BULK,WAIQTVC4     H,Kwai Chung + code1,50,Saint John + code1,50,Braithwaite + code1,48,Harwich + code1,47,Hitachi + code1,47
9745237,TANKER,NG ERT,Berong + code1,67,Everton + code1,62,Eren + code1,60,Eten + code1,60,Beaufort (Nc) + code1,59
8693073,DRY BULK,JP AKADOWARI OFF,Abashiri (Jap) + code1,50,Karwar - North Port + code1,48,Koyo Dock (Jap) + code1,48,Manokwari + code1,48,Puerto Bayovar + code1,47
9787780,TANKER,JP OIP,Pori + code1,60,Poti + code1,60,Ogishima (Jap) + code1,56,Osaka + code2,55,Hikoshima + code2,55
9273222,TANKER,SARNIA,Sarnia + code1,100,Sariaya + code1,77,Agria + code1,73,Arica + code1,73,Sangi + code1,73
9370800,DRY,TWHUN,Hualien + code2,100,Wuhu + code1,67,Taichung + code1,62,HUMEN + code1,60,Tawau + code1,60
8917728,DRY BULK,IT PMA,Porto Marghera + code2,91,Porto Empedocle + code2,73,Palermo + code2,73,Santa Panagia + code2,73,Kitimat + code1,62
9638642,DRY,CM YJI,Yangjiang + code2,73,Moji + code1,60,Kribi + code2,55,Yingkou + code2,55,Kota Kinabalu + code2,55
9420356,CONTAINER,IR BND,Bandirma + code1,71,Brindisi + code1,57,Sirri Island + code1,56,Zirku Island + code1,56,Beira + code1,55
9768019,DRY,SHIDAO,Shidao + code1,100,Hirao + code1,73,Sidon + code1,73,Shuidong + code1,71,Ashdod + code1,67
9724661,DRY BULK,YUZHNY UKRAINE,Yuzhny + code1,100,Ain Sukhna + code1,58,Kaskinen + code1,55,Kristinehamn + code1,54,Yuzhny + code2,53
9465277,CONTAINER,LOME,Lome + code1,100,Nome + code1,75,Homer + code1,67,Limbe + code1,67,Ploce + code1,67
9543706,DRY,GABON,Ambon + code1,80,"Montrose, U.K. + code2",80,London + code2,80,Bonny + code2,80,Gaboto + code1,73
9433858,DRY BULK,JP HRH,Abashiri (Jap) + code1,56,Ichihara (Jap) + code1,56,Rijeka + code2,55,Hopa + code2,55,Kardeljevo + code2,55
9832420,DRY BULK,JP KII,Kiire + code2,91,Kikuma + code2,73,Kin Wan (Okinawa) + code2,73,Kamaishi + code2,73,Kainan + code2,73
9732797,TANKER,PORT NECHES>USPON,Port Neches + code2+3,100,Yonkers + code2+3,80,New London + code2+3,80,"Freeport, Texas, U.S.A. + code2+3",80,Pensacola + code2+3,80
8028424,CONTAINER,MONROVIA,Monrovia + code1,100,Cordova + code1,67,Moni + code1,67,Moro + code1,67,Morotai + code1,67
9125657,DRY BULK,FRLEH_FRURO_FRLEH,Ferrol + code1,52,Fraserburgh + code1,50,Rouen + code2,45,Le Havre + code2,45,Fort Lauderdale + code1,44
8520989,TANKER,BHAVNAGAR,Bhavnagar + code1,100,JAMNAGAR + code1,71,Havana + code1,67,Whangarei + code1,67,Hiagari + code1,62
9326835,CONTAINER,CARTAGENA,"Cartagena, Colombia + code1",100,"Cartagena, Spain + code1",100,Catania + code1,75,Ardalstangen + code1,67,Parana + code1,67
9063811,TANKER,KAO ANC,Ancon + code1,67,Cabo Blanco + code1,67,Hanko + code1,67,MACAO + code1,67,Nanao + code1,67
9635286,DRY BULK,>JP YOS OFF,Yokosuka + code2+3,91,Osaka + code2+3,73,Tokyo + code2+3,73,Yokohama + code2+3,73,Shinminato + code2+3,73
9711705,DRY,IT OTN > HR RJK,Rijeka + code2+3,91,Bakar + code2+3,55,Nakhodka + code2+3,55,Dugi Rat + code2+3,55,Deer Park + code1+3,53
9467299,CONTAINER,FXT,Felixstowe + code2,75,Sfax + code1,57,Taft + code1,57,Fatsa + code1,50,Tofte + code1,50
9766176,DRY,RUTUA--->ESCEU,Ceuta + code2+3,100,Escee + code1+3,80,Castro-Urdiales + code2+3,80,Cebu + code1+3,67,Supe Bay + code2+3,67
9731781,TANKER,SGSIN,Singapore + code2,100,Bassein + code1,67,Messina + code1,67,Shengjin + code1,62,Stugsund + code1,62
8840262,DRY BULK,ANZALI,Yanai + code1,73,Auckland + code2,73,Mangalia + code1,71,Naantali + code1,71,Aalvik + code1,67
9291133,DRY BULK,US BNC>JP THS,Toyohashi + code2+3,91,Hososhima + code2+3,73,Shimonoseki + code2+3,73,Hikoshima + code2+3,73,Takehara + code2+3,73
9400930,DRY BULK,BINTULU,Bintulu + code1,100,Bengkulu + code1,67,Tuticorin + code2,67,Banjul + code1,62,Bitung + code1,62
9590876,TANKER,FOR ORDERS,Porto Torres + code1,64,Port Rhoades + code1,64,Rhodes + code1,62,Randers + code1,59,Tres Fronteras + code1,58
9232761,CONTAINER,VOSTOCHNY,Vostochnyy + code1,95,Houston + code1,62,Rostock + code1,62,Stockton + code1,59,Sochi + code1,57
9504102,DRY BULK,ALGECIRAS,Algeciras + code1,100,Algiers + code1,75,Valencia + code1,71,Ras Al Kethib + code1,64,Aguilas + code1,62
9354791,DRY,CHORNOMORSK,Chornomorsk + code1,100,Primorsk + code1,63,Mosterhamn + code2,62,Belomorsk + code1,60,Ocho Rios + code1,60
9504293,DRY,AE MSA,Mina Saqr + code2,91,Halat al Mubarraz + code2,73,Abu Musa + code1,71,Ama + code1,67,Daesan + code1,67
8712685,DRY BULK,BADAS,Das Island + code2,80,Abadan + code1,73,Banias + code1,73,Adak + code1,67,Bandirma + code1,62
9247376,TANKER,ROTTERDAM FOR ORDERS,Rotterdam + code1,100,Frederiksted + code1,56,Tres Fronteras + code1,53,Fort Lauderdale + code1,51,Tierra Colorada + code1,51
8507248,TANKER,TURKAN,Tarakan + code1,77,Turku + code1,73,Kantang + code2,73,Ravenna + code2,73,Tauranga + code1,71
9230048,TANKER,ORDERS,Randers + code1,77,Rades + code1,73,Rostock + code2,73,Odense + code1,67,Odessa + code1,67
9280586,TANKER,IQKAZ,Khor al Zubair + code2,100,Khor-al-Amaya + code2,80,Kiska + code1,60,Sikka + code1,60,Sitka + code1,60
9084401,TANKER,KORSAKOV,Korsakov + code1,100,Korsor + code1,71,Koko + code1,67,Nakskov + code1,67,Ochakov + code1,67
9431044,TANKER,ZONA DELTA,La Romana + code1,63,Punta Delgada + code1,61,El Tablazo + code1,60,Da Nang + code1,59,Da Nong + code1,59
9242156,TANKER,SUDONG ANCHORAGE,Anchorage + code1,100,Tioman Anchorage + code1,75,Taboneo Anchorage + code1,73,Muara Berau Anchorage + code1,72,Muara Pantai Anchorage + code1,72
9401922,DRY BULK,GALBV,Libreville + code2,100,Galisby + code1,67,Gabes + code1,60,Galle + code1,60,Gamba + code1,60
9658939,DRY BULK,ID BDJ,Offshore Karimun Besar (Tsa) + code2,57,Jieh Port + code2,55,Djibouti + code2,55,Banjarmasin + code2,55,Brodick + code2,55
9805001,DRY BULK,>JP SKD,Sakaide + code2+3,91,Hakodate + code2+3,73,Fushiki + code2+3,73,Senboku + code2+3,73,Kanda + code2+3,73
9366483,CONTAINER,FRFOS,Fos + code2,100,Fos + code1,75,Faro + code1,67,Kramfors + code1,62,Floro + code1,60
9044205,DRY BULK,INCHON,Inchon + code1,100,Ancon + code1,73,Hon Gai + code2,73,Cochin + code2,73,Ancona + code1,67
9446465,DRY BULK,AU NTL,Newcastle + code2,91,Northern Endeavour + code2,73,Port Alma + code2,73,Antalya + code1,62,Antilla + code1,62
9290490,TANKER,BELAWAN,Belawan + code1,100,Erawan + code1,77,Balamban + code1,67,Mawan + code1,67,Perawang + code1,67
9675937,DRY BULK,PORT HEDLAND,Port Hedland + code1,100,Eastland Port + code1,80,Port Eads + code1,76,Hamad Port  + code1,73,Port Sudan + code1,73
9319155,CONTAINER,VN-DA NANG,Da Nang + code1,100,Da Nong + code1,71,Vung Ang + code1,67,Van Phong Bay + code1,61,Su-Au Kang + code1,60
9432505,DRY BULK,ITVSO,Kitasode + code1,62,Pisco + code1,60,Risor + code1,60,Vadso + code1,60,Oristano + code2,60
9604005,DRY BULK,FUJAIRAH,Fujairah + code1,100,Jaigarh + code1,67,Zuara + code1,62,Rauma + code2,62,Archangel + code2,62
9535400,TANKER,GIBRALTAR ANCHORAGE,Anchorage + code1,100,Gibraltar + code1,100,Muara Berau Anchorage + code1,75,Tioman Anchorage + code1,72,Taboneo Anchorage + code1,69
9346885,TANKER,GB TEE,Teesport + code2,91,Gee + code1,67,Stornoway + code2,60,Limetree Bay + code1,56,Belem + code1,55
8126719,DRY BULK,TO ORDER,Puerto Ordaz + code1,70,Port Fortier + code1,60,Dordrecht + code1,59,Oporto + code1,57,Ortona + code1,57
9629146,DRY BULK,LABUAN-MALAYSIA,Labuan + code1,100,Labuan Amuk + code1,71,"Lumut, Malaya, Malaysia + code1",70,Pelabuhan Wayame + code1,65,Abu Musa + code1,61
9593749,DRY BULK,ROTTERDAM,Rotterdam + code1,100,Amsterdam + code1,67,Mosterhamn + code1,63,Drogheda + code1,59,Tekirdag + code1,59
8806046,TANKER,BOS        BER,Nossi-Be + code1,67,Xeros + code1,67,"Boston, U.K. + code2",67,Ostend + code2,67,Ilheus + code2,67
9304332,TANKER,SANTOS,General Santos + code1,100,Santos + code1,100,Santo + code1,91,Sagunto + code1,77,Shantou + code1,77
9437490,DRY BULK,CALABAI INDONESIA,Cabinda + code1,58,San Pedro Calif + code1,56,Kali Limenes + code1,55,Santiago de Cuba + code1,55,Lindesnes + code1,54
9194139,TANKER,KHOR FAKKAN,Khor Fakkan + code1,100,Khor Kalba + code1,67,Khor Al Mufatta + code1,62,Kanmon-Ko + code1,60,Khor-al-Amaya + code1,58
9152856,CONTAINER,IDPNJ,Panjang + code2,100,Pontianak + code2,80,Balikpapan + code2,80,Muara Pantai Anchorage + code2,80,Tanjung Pemancingan + code2,80
9195688,DRY BULK,NLMOE,Moerdijk + code2,100,Lome + code1,67,Nome + code1,67,Kinoe + code1,60,Limbe + code1,60
9613678,DRY,"PARANAGUA,BRAZIL",Paranagua + code1,100,"Natal, Brazil + code1",71,Santa Clara (Brazil) + code1,71,"Vitoria, Brazil + code1",60,Panama Canal + code1,57
9364875,DRY BULK,JP THS,Toyohashi + code2,91,Hososhima + code2,73,Shimonoseki + code2,73,Hikoshima + code2,73,Takehara + code2,73
9207405,DRY BULK,JP MIZ TS,Mizushima + code2,71,Misumi + code2,71,Izumisano + code2,71,Matsuura + code2,71,Kamiiso (Jap) + code1,60
9320697,CONTAINER,US LAX,UST-LUGA + code1,71,Lan Yu + code1,67,Ahus + code1,60,Abu Musa + code1,57,Lausanne + code1,57
9498949,TANKER,SINGAPORE,Singapore + code1,100,Gopalpur + code2,71,Helsingor + code1,67,Port Dina + code1,67,Surigao + code1,62
9322657,TANKER,NL VLI,Flushing + code2,91,Velsen + code2,73,Vlaardingen + code2,73,Navlakhi + code1,57,Riga + code2,55
