839,656,355,897,287,225,256	1
519,852,678,840,595,443,336	1
520,242,91,741,225,794,629	1
274,908,413,733,240	1
184,592,820,218,274,522,146	1
477,59,547,639,474,840,298,49	1
898,604,231,430,233,69	1
696,56,656,897,287,225,176,889	1
274,427,725,163,98,880	0
274,427,725,87,769,98,880	0
881,546,725,217,738,39,98,880	0
274,427,725,628,98,880	0
881,546,725,217,738,418,98,880	0
272,427,725,87,853,509,98,880	0
274,427,725,87,600,98,880	0
881,546,725,217,738,823,98,880	0
274,427,725,87,220,98,880	0
881,546,725,217,738,748,98,880	0
274,427,725,87,853,85,42,880	0
881,546,725,217,738,661,42,880	0
274,427,725,87,853,870,42,880	0
881,546,725,217,738,913,42,880	0
274,427,725,87,853,559,42,880	0
881,546,725,217,738,579,42,880	0
274,427,725,87,853,722,42,880	0
881,546,725,217,738,100,42,880	0
274,427,725,87,853,279,42,880	0
274,427,725,87,853,837,42,880	0
881,546,725,217,738,168,42,880	0
274,427,725,87,853,504,42,880	0
274,427,725,87,853,456,42,880	0
881,546,725,217,738,763,42,880	0
274,427,725,87,853,337,42,880	0
881,546,725,217,738,3,42,880	0
274,427,725,87,853,893,42,880	0
881,546,725,217,738,125,42,880	0
881,546,725,217,738,890,42,880	0
274,427,725,87,853,365,42,880	0
881,546,725,217,738,811,42,880	0
274,427,725,87,853,497,854	0
881,546,725,217,738,153,42,880	0
274,427,725,87,853,115,42,880	0
881,546,725,217,738,363,42,880	0
274,427,725,87,853,0,42,880	0
881,546,725,217,738,724,42,880	0
881,546,725,217,738,418,42,880	0
274,427,725,87,853,509,42,880	0
881,546,725,217,738,902,42,880	0
274,427,725,87,853,782,42,880	0
881,546,725,217,738,572,782,42,880	0
274,427,725,87,466,696,365	0
881,546,725,217,738,609,696,365	0
274,427,725,87,853,85,696,365	0
881,546,725,217,738,661,696,365	0
881,546,725,217,738,100,696,365	0
274,427,725,87,853,27,696,365	0
881,546,725,217,738,323,696,365	0
274,427,725,87,853,698,696,365	0
881,546,725,217,738,859,696,365	0
129,532,712,41,94,340,794	1
274,427,725,87,853,279,696,365	0
881,546,725,217,738,614,696,365	0
274,427,725,87,853,837,696,365	0
274,427,725,87,853,337,696,365	0
881,546,725,217,738,3,696,365	0
274,427,725,87,853,812,696,365	0
881,546,725,217,738,102,696,365	0
274,427,725,87,853,577,696,365	0
881,546,725,217,738,34,696,365	0
274,427,725,87,853,893,696,365	0
881,546,725,217,738,125,696,365	0
92,430,842,703,840,116,828	1
274,427,725,87,853,880,696,365	0
881,546,725,217,738,890,696,365	0
274,427,725,87,853,115,696,365	0
881,546,725,217,738,363,696,365	0
274,427,725,87,853,70,696,365	0
881,546,725,217,738,692,696,365	0
274,427,725,87,853,769,696,365	0
881,546,725,217,738,39,696,365	0
884,180,537,142,723,512	2
881,546,725,217,738,724,696,365	0
274,427,725,87,853,480,696,365	0
